title,year,cited_by,doi,venue,authors,method_relevance,areas,doi_url,oa_pdf_url,landing_url,openalex_url,is_oa
Sentinel-2 cropland mapping using pixel-based and object-based time-weighted dynamic time warping analysis,2017,901,10.1016/j.rse.2017.10.005,Remote Sensing of Environment,Mariana Belgiu; Ovidiu Csillik,3.0,invasive_phenology_ts,https://doi.org/10.1016/j.rse.2017.10.005,https://ars.els-cdn.com/content/image/1-s2.0-S0034425717304686-fx1_lrg.jpg,https://doi.org/10.1016/j.rse.2017.10.005,https://openalex.org/W2767953525,True
ChangeMamba: Remote Sensing Change Detection With Spatiotemporal State Space Model,2024,278,10.1109/tgrs.2024.3417253,IEEE Transactions on Geoscience and Remote Sensing,Hongruixuan Chen; Jian Song; Chengxi Han,3.0,unet_vs_pooling,https://doi.org/10.1109/tgrs.2024.3417253,https://arxiv.org/pdf/2404.03425,http://arxiv.org/abs/2404.03425,https://openalex.org/W4394007483,True
MODELING THE INTERACTIONS BETWEEN RIVER MORPHODYNAMICS AND RIPARIAN VEGETATION,2013,261,10.1002/rog.20014,Reviews of Geophysics,Carlo Camporeale; Eliana Perucca; Luca Ridolfi,3.0,dryland_riparian_change,https://doi.org/10.1002/rog.20014,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/rog.20014,https://doi.org/10.1002/rog.20014,https://openalex.org/W1916467160,True
Weakly Supervised Deep Learning for Segmentation of Remote Sensing Imagery,2020,260,10.3390/rs12020207,Remote Sensing,Sherrie Wang; William Chen; Sang Michael Xie,3.0,weak_supervision_rs,https://doi.org/10.3390/rs12020207,https://www.mdpi.com/2072-4292/12/2/207/pdf?version=1578401087,https://doi.org/10.3390/rs12020207,https://openalex.org/W3000627240,True
"Comparing Deep Learning and Shallow Learning for Large-Scale Wetland Classification in Alberta, Canada",2019,185,10.3390/rs12010002,Remote Sensing,Evan R. DeLancey; John F. Simms; Masoud Mahdianpari,3.0,riparian_s2_ml,https://doi.org/10.3390/rs12010002,https://www.mdpi.com/2072-4292/12/1/2/pdf?version=1579404368,https://doi.org/10.3390/rs12010002,https://openalex.org/W2998342770,True
Mapping Forest Type and Tree Species on a Regional Scale Using Multi-Temporal Sentinel-2 Data,2019,181,10.3390/rs11080929,Remote Sensing,Agata Hościło; Aneta Lewandowska,3.0,riparian_s2_ml,https://doi.org/10.3390/rs11080929,https://www.mdpi.com/2072-4292/11/8/929/pdf?version=1555494877,https://doi.org/10.3390/rs11080929,https://openalex.org/W2935706473,True
Discrimination of Deciduous Tree Species from Time Series of Unmanned Aerial System Imagery,2015,122,10.1371/journal.pone.0141006,PLoS ONE,Jonathan Lisein; Adrien Michez; Hugues Claessens,3.0,invasive_phenology_ts,https://doi.org/10.1371/journal.pone.0141006,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0141006&type=printable,https://doi.org/10.1371/journal.pone.0141006,https://openalex.org/W2235215170,True
Impacts of invading alien plant species on water flows at stand and catchment scales,2015,96,10.1093/aobpla/plv043,AoB Plants,David C. Le Maître; M.B. Gush; Sebinasi Dzikiti,3.0,tamarisk_phenology,https://doi.org/10.1093/aobpla/plv043,https://academic.oup.com/aobpla/article-pdf/doi/10.1093/aobpla/plv043/10689297/plv043.pdf,https://doi.org/10.1093/aobpla/plv043,https://openalex.org/W2135135193,True
Tree Species Classification in Temperate Forests Using Formosat-2 Satellite Image Time Series,2016,95,10.3390/rs8090734,Remote Sensing,David Sheeren; Mathieu Fauvel; Veliborka Josipović,3.0,invasive_phenology_ts,https://doi.org/10.3390/rs8090734,https://www.mdpi.com/2072-4292/8/9/734/pdf?version=1473215626,https://doi.org/10.3390/rs8090734,https://openalex.org/W2507726724,True
Mapping Rice Paddy Based on Machine Learning with Sentinel-2 Multi-Temporal Data: Model Comparison and Transferability,2020,71,10.3390/rs12101620,Remote Sensing,Weichun Zhang; Hongbin Liu; Wei Wu,3.0,self_supervised_veg,https://doi.org/10.3390/rs12101620,https://www.mdpi.com/2072-4292/12/10/1620/pdf?version=1590321634,https://doi.org/10.3390/rs12101620,https://openalex.org/W3026063078,True
CMLFormer: CNN and Multiscale Local-Context Transformer Network for Remote Sensing Images Semantic Segmentation,2024,69,10.1109/jstars.2024.3375313,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Honglin Wu; Min Zhang; Peng Huang,3.0,unet_vs_pooling,https://doi.org/10.1109/jstars.2024.3375313,https://ieeexplore.ieee.org/ielx7/4609443/4609444/10465603.pdf,https://doi.org/10.1109/jstars.2024.3375313,https://openalex.org/W4392824739,True
UNetMamba: An Efficient UNet-Like Mamba for Semantic Segmentation of High-Resolution Remote Sensing Images,2024,57,10.1109/lgrs.2024.3505193,IEEE Geoscience and Remote Sensing Letters,Enze Zhu; Zhan Chen; Dingkai Wang,3.0,unet_vs_pooling,https://doi.org/10.1109/lgrs.2024.3505193,https://arxiv.org/pdf/2408.11545,http://arxiv.org/abs/2408.11545,https://openalex.org/W4402698583,True
Dual Encoder–Decoder Network for Land Cover Segmentation of Remote Sensing Image,2023,45,10.1109/jstars.2023.3347595,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Wang Zhong-chen; Min Xia; Liguo Weng,3.0,unet_vs_pooling,https://doi.org/10.1109/jstars.2023.3347595,https://ieeexplore.ieee.org/ielx7/4609443/4609444/10375099.pdf,https://doi.org/10.1109/jstars.2023.3347595,https://openalex.org/W4390284997,True
"Livestock management, beaver, and climate influences on riparian vegetation in a semi-arid landscape",2018,43,10.1371/journal.pone.0208928,PLoS ONE,Kurt A. Fesenmyer; Daniel C. Dauwalter; Carol Evans,3.0,corridor_vbet,https://doi.org/10.1371/journal.pone.0208928,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0208928&type=printable,https://doi.org/10.1371/journal.pone.0208928,https://openalex.org/W2904749043,True
Remote Detection of Invasive Alien Species,2020,41,10.1007/978-3-030-33157-3_12,,Erik A. Bolch; Maria J. Santos; Christiana Ade,3.0,tamarisk_phenology,https://doi.org/10.1007/978-3-030-33157-3_12,https://link.springer.com/content/pdf/10.1007%2F978-3-030-33157-3_12.pdf,https://doi.org/10.1007/978-3-030-33157-3_12,https://openalex.org/W3036304884,True
Continual Barlow Twins: Continual Self-Supervised Learning for Remote Sensing Semantic Segmentation,2023,35,10.1109/jstars.2023.3280029,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Valerio Marsocci; Simone Scardapane,3.0,fm_finetune_seg; self_supervised_veg,https://doi.org/10.1109/jstars.2023.3280029,https://ieeexplore.ieee.org/ielx7/4609443/9973430/10135093.pdf,https://doi.org/10.1109/jstars.2023.3280029,https://openalex.org/W4378194802,True
Encoding Contextual Information by Interlacing Transformer and Convolution for Remote Sensing Imagery Semantic Segmentation,2022,35,10.3390/rs14164065,Remote Sensing,Xin Li; Feng Xu; Runliang Xia,3.0,fm_finetune_seg,https://doi.org/10.3390/rs14164065,https://www.mdpi.com/2072-4292/14/16/4065/pdf?version=1660915532,https://doi.org/10.3390/rs14164065,https://openalex.org/W4292553515,True
"Land Use, anthropogenic disturbance, and riverine features drive patterns of habitat selection by a wintering waterbird in a semi-arid environment",2018,35,10.1371/journal.pone.0206222,PLoS ONE,Matthew A. Boggie; Daniel P. Collins; John Donnelly,3.0,russian_olive,https://doi.org/10.1371/journal.pone.0206222,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0206222&type=printable,https://doi.org/10.1371/journal.pone.0206222,https://openalex.org/W2900030406,True
Quantifying the performance of automated GIS-based geomorphological approaches for riparian zone delineation using digital elevation models,2012,34,10.5194/hess-16-3851-2012,Hydrology and earth system sciences,Diego Fernández; José Barquín; M. Álvarez-Cabria,3.0,corridor_vbet,https://doi.org/10.5194/hess-16-3851-2012,https://hess.copernicus.org/articles/16/3851/2012/hess-16-3851-2012.pdf,https://doi.org/10.5194/hess-16-3851-2012,https://openalex.org/W2011969937,True
Semantic segmentation for plastic-covered greenhouses and plastic-mulched farmlands from VHR imagery,2023,26,10.1080/17538947.2023.2275657,International Journal of Digital Earth,Bowen Niu; Quanlong Feng; Shuai Su,3.0,fm_finetune_seg,https://doi.org/10.1080/17538947.2023.2275657,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2023.2275657?needAccess=true,https://doi.org/10.1080/17538947.2023.2275657,https://openalex.org/W4388420812,True
Interactions between vegetation and river morphodynamics. Part I: Research clarifications and challenges,2024,22,10.1016/j.earscirev.2024.104769,Earth-Science Reviews,Dov Corenblit; Hervé Piégay; Florent Arrignon,3.0,dryland_riparian_change,https://doi.org/10.1016/j.earscirev.2024.104769,https://www.sciencedirect.com/science/article/pii/S0012825224000965,https://doi.org/10.1016/j.earscirev.2024.104769,https://openalex.org/W4396993191,True
Can local adaptation explain varying patterns of herbivory tolerance in a recently introduced woody plant in North America?,2017,21,10.1093/conphys/cox016,Conservation Physiology,Randall W. Long; S. E. Bush; Kevin C. Grady,3.0,tamarisk_phenology,https://doi.org/10.1093/conphys/cox016,https://academic.oup.com/conphys/article-pdf/5/1/cox016/11118780/cox016.pdf,https://doi.org/10.1093/conphys/cox016,https://openalex.org/W2598122825,True
Deep attentive fusion network for flood detection on uni-temporal Sentinel-1 data,2022,19,10.3389/frsen.2022.1060144,Frontiers in Remote Sensing,Ritu Yadav; Andrea Nascetti; Yifang Ban,3.0,self_supervised_veg,https://doi.org/10.3389/frsen.2022.1060144,https://www.frontiersin.org/articles/10.3389/frsen.2022.1060144/pdf,https://doi.org/10.3389/frsen.2022.1060144,https://openalex.org/W4311497977,True
Object-Centric Masked Image Modeling-Based Self-Supervised Pretraining for Remote Sensing Object Detection,2023,18,10.1109/jstars.2023.3277588,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Tong Zhang; Yin Zhuang; He Chen,3.0,satmae_scalemae,https://doi.org/10.1109/jstars.2023.3277588,https://ieeexplore.ieee.org/ielx7/4609443/9973430/10129022.pdf,https://doi.org/10.1109/jstars.2023.3277588,https://openalex.org/W4380534865,True
GEO-Bench: Toward Foundation Models for Earth Monitoring,2023,17,10.48550/arxiv.2306.03831,arXiv (Cornell University),Alexandre Lacoste; Nils Lehmann; Pau Rodríguez,3.0,fm_finetune_seg,https://doi.org/10.48550/arxiv.2306.03831,https://arxiv.org/pdf/2306.03831,http://arxiv.org/abs/2306.03831,https://openalex.org/W4379925132,True
Fields of The World: A Machine Learning Benchmark Dataset for Global Agricultural Field Boundary Segmentation,2025,12,10.1609/aaai.v39i27.35034,Proceedings of the AAAI Conference on Artificial Intelligence,Hannah Kerner; Snehal Chaudhari; Aninda Ghosh,3.0,presto_pixel_ts,https://doi.org/10.1609/aaai.v39i27.35034,https://ojs.aaai.org/index.php/AAAI/article/download/35034/37189,https://doi.org/10.1609/aaai.v39i27.35034,https://openalex.org/W4409348626,True
Scale-MAE: A Scale-Aware Masked Autoencoder for Multiscale Geospatial Representation Learning,2022,11,10.48550/arxiv.2212.14532,arXiv (Cornell University),Colorado Reed; Ritwik Gupta; Shufan Li,3.0,satmae_scalemae,https://doi.org/10.48550/arxiv.2212.14532,https://arxiv.org/pdf/2212.14532,http://arxiv.org/abs/2212.14532,https://openalex.org/W4313533697,True
Developing an algorithm for enhancement of a digital terrain model for a densely vegetated floodplain wetland,2016,9,10.1117/1.jrs.10.036013,Journal of Applied Remote Sensing,Dorota Mirosław‐Świątek; Sylwia Szporak-Wasilewska; Robert Michałowski,3.0,corridor_vbet,https://doi.org/10.1117/1.jrs.10.036013,https://www.spiedigitallibrary.org/journals/Journal-of-Applied-Remote-Sensing/volume-10/issue-3/036013/Developing-an-algorithm-for-enhancement-of-a-digital-terrain-model/10.1117/1.JRS.10.036013.pdf,https://doi.org/10.1117/1.jrs.10.036013,https://openalex.org/W2517336777,True
Prospectivity Mapping of Tungsten Mineralization in Southern Jiangxi Province Using Few-Shot Learning,2023,7,10.3390/min13050669,Minerals,Kai Zhou; Tao Sun; Yue Liu,3.0,fewshot_species_rs,https://doi.org/10.3390/min13050669,https://www.mdpi.com/2075-163X/13/5/669/pdf?version=1683967360,https://doi.org/10.3390/min13050669,https://openalex.org/W4376611638,True
Detecting Looted Archaeological Sites from Satellite Image Time Series,2025,5,10.1109/cvprw67362.2025.00216,,Elliot Vincent; Mehraïl Saroufim; Jonathan Chemla,3.0,satmae_scalemae,https://doi.org/10.1109/cvprw67362.2025.00216,,https://doi.org/10.1109/cvprw67362.2025.00216,https://openalex.org/W4414197638,False
From Orbit to Ground: A Comprehensive Review of Multimodal Self-Supervised Learning for Remote Sensing,2025,3,10.36227/techrxiv.174137752.20965470/v1,,Lubin Bai; Xiuyuan Zhang; Wei Qin,3.0,presto_pixel_ts,https://doi.org/10.36227/techrxiv.174137752.20965470/v1,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.174137752.20965470,https://doi.org/10.36227/techrxiv.174137752.20965470/v1,https://openalex.org/W4408213357,True
Harvesting AlphaEarth: Benchmarking the geospatial foundation model for agricultural downstream tasks,2026,3,10.1016/j.jag.2026.105258,International Journal of Applied Earth Observation and Geoinformation,Yuchi Ma; Yawen Shen; Anu Swatantran,3.0,prithvi,https://doi.org/10.1016/j.jag.2026.105258,https://doi.org/10.1016/j.jag.2026.105258,https://doi.org/10.1016/j.jag.2026.105258,https://openalex.org/W7141622182,True
Riparian vegetation response amid variable climate conditions across the Upper Gila River watershed: informing Tribal restoration priorities,2023,2,10.3389/fenvs.2023.1179328,Frontiers in Environmental Science,Roy E. Petrakis; Laura M. Norman; Barry Middleton,3.0,beetle_defoliation,https://doi.org/10.3389/fenvs.2023.1179328,https://www.frontiersin.org/articles/10.3389/fenvs.2023.1179328/pdf,https://doi.org/10.3389/fenvs.2023.1179328,https://openalex.org/W4383069857,True
Remote Sensing Applications in Monitoring of Protected Areas,2020,1,10.3390/books978-3-03936-369-8,,Yeqiao Wang; Zhong Lu; Yongwei Sheng,3.0,tamarisk_phenology,https://doi.org/10.3390/books978-3-03936-369-8,https://mdpi-res.com/bookfiles/book/2535/Remote_Sensing_Applications_in_Monitoring_of_Protected_Areas.pdf,https://doi.org/10.3390/books978-3-03936-369-8,https://openalex.org/W4235826672,True
MMEarth: Exploring Multi-Modal Pretext Tasks For Geospatial Representation Learning,2024,1,10.48550/arxiv.2405.02771,arXiv (Cornell University),Vishal Nedungadi; Ankit Kariryaa; Stefan Oehmcke,3.0,presto_pixel_ts,https://doi.org/10.48550/arxiv.2405.02771,https://arxiv.org/pdf/2405.02771,http://arxiv.org/abs/2405.02771,https://openalex.org/W4396718053,True
Hybridization and range expansion in tamarisk beetles ( <i>Diorhabda</i> spp.) introduced to North America for classical biological control,2021,0,10.1101/2021.05.18.444725,bioRxiv (Cold Spring Harbor Laboratory),Amanda R. Stahlke; Ellyn V. Bitume; A. Zeynep Özsoy,3.0,beetle_defoliation,https://doi.org/10.1101/2021.05.18.444725,https://www.biorxiv.org/content/biorxiv/early/2021/05/18/2021.05.18.444725.full.pdf,https://doi.org/10.1101/2021.05.18.444725,https://openalex.org/W3162625124,True
Training and Deploying Pretrained Remote Sensing Models,2026,0,10.82308/55678,Open MIND,Gabriel Tseng,3.0,presto_pixel_ts,https://doi.org/10.82308/55678,https://mcgill.scholaris.ca/bitstreams/fbaddd24-cc06-46d0-aeff-32e6c6d92067/download,https://hdl.handle.net/20.500.14905/140863,https://openalex.org/W7165471790,True
Advancing Flood Mapping with Geo-Spatial Models and Indian Satellites,2025,0,10.1109/igarss55030.2025.11314067,,Kamal Das; Ayush Jain; Vinamra Baghel,3.0,prithvi,https://doi.org/10.1109/igarss55030.2025.11314067,,https://doi.org/10.1109/igarss55030.2025.11314067,https://openalex.org/W7117547262,False
Utilizing a Geospatial Foundation Model for Coastline Delineation in Small Sandy Islands,2025,0,10.48550/arxiv.2511.10177,arXiv (Cornell University),Tishya Chhabra; Manisha Bajpai; Walter Zesk,3.0,prithvi,https://doi.org/10.48550/arxiv.2511.10177,https://arxiv.org/pdf/2511.10177,http://arxiv.org/abs/2511.10177,https://openalex.org/W4416238593,True
"Current status of Landsat program, science, and applications",2019,1118,10.1016/j.rse.2019.02.015,Remote Sensing of Environment,Michael A. Wulder; Thomas R. Loveland; David P. Roy,2.5,riparian_s2_ml; dryland_riparian_change,https://doi.org/10.1016/j.rse.2019.02.015,https://doi.org/10.1016/j.rse.2019.02.015,https://doi.org/10.1016/j.rse.2019.02.015,https://openalex.org/W2920930972,True
Guidelines for conserving connectivity through ecological networks and corridors,2020,453,10.2305/iucn.ch.2020.pag.30.en,,Jodi Hilty; Graeme L. Worboys; Annika T. H. Keeley,2.5,corridor_vbet,https://doi.org/10.2305/iucn.ch.2020.pag.30.en,https://portals.iucn.org/library/sites/library/files/documents/PAG-030-En.pdf,https://doi.org/10.2305/iucn.ch.2020.pag.30.en,https://openalex.org/W3040304437,True
Applications of Remote Sensing to Alien Invasive Plant Studies,2009,302,10.3390/s90604869,Sensors,Cho‐ying Huang; Gregory P. Asner,2.5,tamarisk_phenology; invasive_phenology_ts,https://doi.org/10.3390/s90604869,https://www.mdpi.com/1424-8220/9/6/4869/pdf?version=1403311560,https://doi.org/10.3390/s90604869,https://openalex.org/W2131305829,True
Wetland monitoring using classification trees and SPOT-5 seasonal time series,2009,280,10.1016/j.rse.2009.10.009,Remote Sensing of Environment,Aurélie Davranche; Gaétan Lefebvre; Brigitte Poulin,2.5,invasive_phenology_ts,https://doi.org/10.1016/j.rse.2009.10.009,,https://doi.org/10.1016/j.rse.2009.10.009,https://openalex.org/W1988353925,False
Evaluating Sentinel-2 and Landsat-8 Data to Map Sucessional Forest Stages in a Subtropical Forest in Southern Brazil,2017,136,10.3390/rs9080838,Remote Sensing,Camile Söthe; Cláudia Maria de Almeida; Veraldo Liesenberg,2.5,riparian_s2_ml,https://doi.org/10.3390/rs9080838,https://www.mdpi.com/2072-4292/9/8/838/pdf?version=1502606831,https://doi.org/10.3390/rs9080838,https://openalex.org/W2747398809,True
A near-real-time approach for monitoring forest disturbance using Landsat time series: stochastic continuous change detection,2020,127,10.1016/j.rse.2020.112167,Remote Sensing of Environment,Su Ye; John Rogan; Zhe Zhu,2.5,invasive_phenology_ts,https://doi.org/10.1016/j.rse.2020.112167,https://www.sciencedirect.com/science/article/pii/S003442572030540X?via%3Dihub,https://doi.org/10.1016/j.rse.2020.112167,https://openalex.org/W3096431188,True
Potential of remote sensing to predict species invasions,2015,104,10.1177/0309133315574659,Progress in Physical Geography Earth and Environment,Duccio Rocchini; Verónica Andreo; Michael Förster,2.5,invasive_phenology_ts,https://doi.org/10.1177/0309133315574659,https://journals.sagepub.com/doi/pdf/10.1177/0309133315574659?download=true,https://doi.org/10.1177/0309133315574659,https://openalex.org/W1996721947,True
Multispectral Approach for Identifying Invasive Plant Species Based on Flowering Phenology Characteristics,2019,78,10.3390/rs11080953,Remote Sensing,Tarin Paz‐Kagan; Micha Silver; Natalya Panov,2.5,invasive_phenology_ts,https://doi.org/10.3390/rs11080953,https://www.mdpi.com/2072-4292/11/8/953/pdf?version=1555844590,https://doi.org/10.3390/rs11080953,https://openalex.org/W2942041917,True
Fusing Sentinel-1 and -2 to Model GEDI-Derived Vegetation Structure Characteristics in GEE for the Paraguayan Chaco,2021,61,10.3390/rs13245105,Remote Sensing,Patrick Kacic; Andreas Hirner; Emmanuel Da Ponte,2.5,riparian_s2_ml,https://doi.org/10.3390/rs13245105,https://www.mdpi.com/2072-4292/13/24/5105/pdf?version=1639750862,https://doi.org/10.3390/rs13245105,https://openalex.org/W4200122828,True
Remote sensing depicts riparian vegetation responses to water stress in a humid Atlantic region,2021,30,10.1016/j.scitotenv.2021.145526,The Science of The Total Environment,Giorgio Pace; Cayetano Gutiérrez‐Cánovas; Renato Henriques,2.5,fm_riparian,https://doi.org/10.1016/j.scitotenv.2021.145526,https://www.sciencedirect.com/science/article/pii/S0048969721005945,https://doi.org/10.1016/j.scitotenv.2021.145526,https://openalex.org/W3127862338,True
Evaluating nitrogen removal by vegetation uptake using satellite image time series in riparian catchments,2011,30,10.1016/j.scitotenv.2011.03.023,The Science of The Total Environment,Xuelei Wang; Qiao Wang; Shengtian Yang,2.5,fm_riparian,https://doi.org/10.1016/j.scitotenv.2011.03.023,https://www.sciencedirect.com/science/article/pii/S0048969711002762,https://doi.org/10.1016/j.scitotenv.2011.03.023,https://openalex.org/W2096104048,True
Sentinel-2 for High Resolution Mapping of Slope-Based Vegetation Indices Using Machine Learning By SAGA GIS,2020,30,10.2478/trser-2020-0015,Transylvanian Review of Systematical and Ecological Research,Polina Lemenkova,2.5,riparian_s2_ml,https://doi.org/10.2478/trser-2020-0015,https://www.sciendo.com/pdf/10.2478/trser-2020-0015,https://doi.org/10.2478/trser-2020-0015,https://openalex.org/W3111858166,True
"Multimodal Colearning Meets Remote Sensing: Taxonomy, State of the Art, and Future Works",2024,29,10.1109/jstars.2024.3378348,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Nhi Kieu; Kien Nguyen; Abdullah Nazib,2.5,prithvi,https://doi.org/10.1109/jstars.2024.3378348,https://ieeexplore.ieee.org/ielx7/4609443/4609444/10474099.pdf,https://doi.org/10.1109/jstars.2024.3378348,https://openalex.org/W4392940311,True
Historical Analysis of Riparian Vegetation Change in Response to Shifting Management Objectives on the Middle Rio Grande,2017,17,10.3390/land6020029,Land,Roy E. Petrakis; Willem van Leeuwen; Miguel L. Villarreal,2.5,russian_olive; dryland_riparian_change,https://doi.org/10.3390/land6020029,https://www.mdpi.com/2073-445X/6/2/29/pdf?version=1493035657,https://doi.org/10.3390/land6020029,https://openalex.org/W2608966692,True
Review of Invasive Plant Functional Traits and Management Using Remote Sensing in Sub-Saharan Africa,2024,12,10.3390/ijpb15020029,International Journal of Plant Biology,Fredrick Ojija; Francesco Petruzzellis; Giovanni Bacaro,2.5,tamarisk_phenology,https://doi.org/10.3390/ijpb15020029,https://www.mdpi.com/2037-0164/15/2/29/pdf?version=1714288187,https://doi.org/10.3390/ijpb15020029,https://openalex.org/W4396574215,True
Advanced Detection of Invasive Neophytes in Agricultural Landscapes: A Multisensory and Multiscale Remote Sensing Approach,2024,8,10.3390/rs16030500,Remote Sensing,Florian Thürkow; Christopher G. Lorenz; Marion Pause,2.5,russian_olive,https://doi.org/10.3390/rs16030500,https://www.mdpi.com/2072-4292/16/3/500/pdf?version=1706516356,https://doi.org/10.3390/rs16030500,https://openalex.org/W4391360421,True
Riparian Plant Evapotranspiration and Consumptive Use for Selected Areas of the Little Colorado River Watershed on the Navajo Nation,2022,7,10.3390/rs15010052,Remote Sensing,Pamela L. Nagler; Armando Barreto‐Muñoz; Ibrahima Sall,2.5,beetle_defoliation; dryland_riparian_change,https://doi.org/10.3390/rs15010052,https://www.mdpi.com/2072-4292/15/1/52/pdf?version=1671708050,https://doi.org/10.3390/rs15010052,https://openalex.org/W4312173639,True
Explainable few-shot learning workflow for detecting invasive and exotic tree species,2025,6,10.1038/s41598-025-05394-2,Scientific Reports,Caroline Gevaert; Alexandra Aguiar Pedro; Ou Ku,2.5,fewshot_species_rs,https://doi.org/10.1038/s41598-025-05394-2,https://www.nature.com/articles/s41598-025-05394-2.pdf,https://doi.org/10.1038/s41598-025-05394-2,https://openalex.org/W4411865785,True
End-to-End Change Detection for High Resolution Satellite Images Using Improved UNet++,2019,788,10.3390/rs11111382,Remote Sensing,Daifeng Peng; Yongjun Zhang; Haiyan Guan,2.0,fm_finetune_seg,https://doi.org/10.3390/rs11111382,https://www.mdpi.com/2072-4292/11/11/1382/pdf?version=1560328029,https://doi.org/10.3390/rs11111382,https://openalex.org/W2951991161,True
"Comprehensive survey of deep learning in remote sensing: theories, tools, and challenges for the community",2017,598,10.1117/1.jrs.11.042609,Journal of Applied Remote Sensing,John E. Ball; Derek T. Anderson; Chee Seng Chan,2.0,weak_supervision_rs,https://doi.org/10.1117/1.jrs.11.042609,https://www.spiedigitallibrary.org/journals/Journal-of-Applied-Remote-Sensing/volume-11/issue-4/042609/Comprehensive-survey-of-deep-learning-in-remote-sensing--theories/10.1117/1.JRS.11.042609.pdf,https://doi.org/10.1117/1.jrs.11.042609,https://openalex.org/W2751694392,True
Process‐Guided Deep Learning Predictions of Lake Water Temperature,2019,433,10.1029/2019wr024922,Water Resources Research,Jordan S. Read; Xiaowei Jia; Jared Willard,2.0,weak_supervision_rs,https://doi.org/10.1029/2019wr024922,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2019WR024922,https://doi.org/10.1029/2019wr024922,https://openalex.org/W2986457312,True
DA-TransUNet: integrating spatial and channel dual attention with transformer U-net for medical image segmentation,2024,275,10.3389/fbioe.2024.1398237,Frontiers in Bioengineering and Biotechnology,Guanqun Sun; Yizhi Pan; Weikun Kong,2.0,unet_vs_pooling,https://doi.org/10.3389/fbioe.2024.1398237,https://www.frontiersin.org/articles/10.3389/fbioe.2024.1398237/pdf?isPublishedV2=False,https://doi.org/10.3389/fbioe.2024.1398237,https://openalex.org/W4396973073,True
Transformer Meets Convolution: A Bilateral Awareness Network for Semantic Segmentation of Very Fine Resolution Urban Scene Images,2021,259,10.3390/rs13163065,Remote Sensing,Libo Wang; Rui Li; Dongzhi Wang,2.0,unet_vs_pooling,https://doi.org/10.3390/rs13163065,https://www.mdpi.com/2072-4292/13/16/3065/pdf,https://doi.org/10.3390/rs13163065,https://openalex.org/W3190334976,True
Ecological and methodological drivers of species’ distribution and phenology responses to climate change,2015,236,10.1111/gcb.13184,Global Change Biology,Christopher J. Brown; Mary I. O’Connor; Elvira S. Poloczanska,2.0,invasive_phenology_ts,https://doi.org/10.1111/gcb.13184,http://hdl.handle.net/10026.1/10109,http://hdl.handle.net/10026.1/10109,https://openalex.org/W2238813690,True
STransFuse: Fusing Swin Transformer and Convolutional Neural Network for Remote Sensing Image Semantic Segmentation,2021,232,10.1109/jstars.2021.3119654,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Liang Gao; Hui Liu; Minhang Yang,2.0,unet_vs_pooling,https://doi.org/10.1109/jstars.2021.3119654,https://ieeexplore.ieee.org/ielx7/4609443/4609444/09573374.pdf,https://doi.org/10.1109/jstars.2021.3119654,https://openalex.org/W3202923600,True
A CBAM Based Multiscale Transformer Fusion Approach for Remote Sensing Image Change Detection,2022,197,10.1109/jstars.2022.3198517,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Wei Wang; Xinai Tan; Peng Zhang,2.0,unet_vs_pooling,https://doi.org/10.1109/jstars.2022.3198517,https://ieeexplore.ieee.org/ielx7/4609443/4609444/09855775.pdf,https://doi.org/10.1109/jstars.2022.3198517,https://openalex.org/W4292387496,True
CSWin-UNet: Transformer UNet with cross-shaped windows for medical image segmentation,2024,160,10.1016/j.inffus.2024.102634,Information Fusion,Xiao Liu; Peng Gao; Tao Yu,2.0,unet_vs_pooling,https://doi.org/10.1016/j.inffus.2024.102634,https://arxiv.org/pdf/2407.18070,http://arxiv.org/abs/2407.18070,https://openalex.org/W4401481079,True
A Crossmodal Multiscale Fusion Network for Semantic Segmentation of Remote Sensing Data,2022,145,10.1109/jstars.2022.3165005,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Xianping Ma; Xiaokang Zhang; Man-On Pun,2.0,unet_vs_pooling,https://doi.org/10.1109/jstars.2022.3165005,https://ieeexplore.ieee.org/ielx7/4609443/9656571/09749821.pdf,https://doi.org/10.1109/jstars.2022.3165005,https://openalex.org/W4226530543,True
